exp_id,time,epoch,hit@1_l,hit@5_l,mrr_l,hit@1_r,hit@5_r,mrr_r
DBP15K_fr_en_il1_sf0,08-11 19:23,100,0.8472,0.9773,0.8967,0.8491,0.9788,0.8976
DBP15K_fr_en_il1_sf0,08-11 22:07,599,0.8767,0.9838,0.9188,0.8793,0.9843,0.9209
DBP15K_zh_en_il1_sf0,08-20 17:28,100,0.8352,0.9661,0.8843,0.8305,0.9665,0.8817
DBP15K_zh_en_il1_sf0,08-20 20:11,599,0.8651,0.9751,0.9077,0.8632,0.976,0.9067
DBP15K_ja_en_il1_sf0,08-20 20:41,100,0.8314,0.9684,0.8829,0.8376,0.969,0.8862
DBP15K_ja_en_il1_sf0,08-20 23:27,599,0.865,0.9777,0.9094,0.868,0.9784,0.9109
FBDB15K_norm_il0_sf0,08-12 03:09,249,0.5451,0.7758,0.6267,0.5469,0.7708,0.6262
FBDB15K_norm_il1_sf0,08-21 03:14,749,0.6259,0.8299,0.7008,0.6235,0.8327,0.699
FBYG15K_norm_il1_sf0,08-20 22:10,250,0.4619,0.6913,0.5423,0.4671,0.7008,0.5469
FBYG15K_norm_il1_sf0,08-20 19:40,749,0.5536,0.7565,0.6267,0.5587,0.7647,0.6315
OEA_EN_FR_15K_V1_norm_il1_sf0,08-20 17:40,250,0.9204,0.9897,0.9483,0.9223,0.9889,0.949
OEA_EN_FR_15K_V1_norm_il1_sf0,08-20 19:18,599,0.928,0.9899,0.9534,0.9295,0.9909,0.9541
OEA_EN_DE_15K_V1_norm_il1_sf0,08-20 20:31,250,0.9782,0.997,0.9858,0.9776,0.9968,0.9855
OEA_EN_DE_15K_V1_norm_il1_sf0,08-20 22:09,599,0.983,0.9985,0.9897,0.9833,0.9982,0.9895
OEA_D_W_15K_V1_norm_il1_sf0,08-20 23:24,250,0.9617,0.9932,0.9746,0.9608,0.9931,0.974
OEA_D_W_15K_V1_norm_il1_sf0,08-21 01:51,749,0.9645,0.9944,0.9769,0.9652,0.9935,0.9774
OEA_D_W_15K_V2_norm_il1_sf0,08-21 03:07,250,0.9839,0.9988,0.9905,0.985,0.9988,0.9911
OEA_D_W_15K_V2_norm_il1_sf0,08-21 05:36,749,0.9871,0.9993,0.9925,0.9864,0.9995,0.9922
